Name,Price,Image,Link
Travis Hunter Dual Threat Tee,$30,"https://assets.adidas.com/images/w_600,f_auto,q_auto/45cf2029ac934775a1c43674dc4fad68_9366/Travis_Hunter_Dual_Threat_Tee_Black_KS2623_01_laydown.jpg",https://www.adidas.com/us/travis-hunter-dual-threat-tee/KS2623.html?pr=taxonomy_rr&slot=1&rec=mt
Miami Motorsport Scenic Drive Tee,$30,"https://assets.adidas.com/images/w_600,f_auto,q_auto/cc04f16bbb7c4201ad85c72d4c0502d5_9366/Miami_Motorsport_Scenic_Drive_Tee_White_KR8632_01_laydown.jpg",https://www.adidas.com/us/miami-motorsport-scenic-drive-tee%0A/KR8632.html?pr=taxonomy_rr&slot=2&rec=mt
Adilette Aqua Slides,$25,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9e96b24f19ba43f59d5833f21c7f8773_9366/Adilette_Aqua_Slides_Pink_JS4052_00_plp_standard.jpg",https://www.adidas.com/us/adilette-aqua-slides/JS4052.html?pr=taxonomy_rr&slot=3&rec=mt
Superstar Shoes,$100,"https://assets.adidas.com/images/w_600,f_auto,q_auto/b2ef64e78670402c9aed46053804359d_9366/Superstar_Shoes_Grey_JS1425_00_plp_standard.jpg",https://www.adidas.com/us/superstar-shoes/JS1425.html?pr=taxonomy_rr&slot=4&rec=mt
adidas Originals Summer Glow Skirt,$60,"https://assets.adidas.com/images/w_600,f_auto,q_auto/341a5a7d55e54d09bed39692ee71926e_9366/adidas_Originals_Summer_Glow_Skirt_Black_KC0767_000_plp_model.jpg",https://www.adidas.com/us/adidas-originals-summer-glow-skirt/KC0767.html?pr=taxonomy_rr&slot=5&rec=mt
adidas Originals Summer Glow Pants,$70,"https://assets.adidas.com/images/w_600,f_auto,q_auto/e787399f0b7944ad85876b85e7573cfd_9366/adidas_Originals_Summer_Glow_Pants_White_KC0675_000_plp_model.jpg",https://www.adidas.com/us/adidas-originals-summer-glow-pants/KC0675.html?pr=taxonomy_rr&slot=6&rec=mt
Gazelle Indoor Shoes,$120,"https://assets.adidas.com/images/w_600,f_auto,q_auto/5d13c62b28a34e32965832528f5d7f88_9366/Gazelle_Indoor_Shoes_Yellow_JI2719_00_plp_standard.jpg",https://www.adidas.com/us/gazelle-indoor-shoes/JI2719.html?pr=taxonomy_rr&slot=7&rec=mt
Anthony Edwards 1 Low Shoes,$110,"https://assets.adidas.com/images/w_600,f_auto,q_auto/0f38da3df971471dabdf59d484209950_9366/Anthony_Edwards_1_Low_Shoes_White_JR3915_00_plp_standard.jpg",https://www.adidas.com/us/anthony-edwards-1-low-shoes/JR3915.html?pr=taxonomy_rr&slot=8&rec=mt
adidas Originals Summer Glow Tee and Short Set,$40,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f3c5b2ea28064178a078c73dc1b2e6d5_9366/adidas_Originals_Summer_Glow_Tee_and_Short_Set_Green_KC0772_00_plp_laydown.jpg",https://www.adidas.com/us/adidas-originals-summer-glow-tee-and-short-set/KC0772.html?pr=taxonomy_rr&slot=9&rec=mt
adidas Originals Summer Glow Tee,$23,"https://assets.adidas.com/images/w_600,f_auto,q_auto/37ec418277fc4efca0345303e9be7ec1_9366/adidas_Originals_Summer_Glow_Tee_White_KC0776_01_laydown.jpg",https://www.adidas.com/us/adidas-originals-summer-glow-tee/KC0776.html?pr=taxonomy_rr&slot=10&rec=mt
adidas Originals x Liberty London Baseball Hat,$30,"https://assets.adidas.com/images/w_600,f_auto,q_auto/405df3d0e4a14597a1d021a1875b346e_9366/adidas_Originals_x_Liberty_London_Baseball_Hat_White_JD0998_00_plp_standard.jpg",https://www.adidas.com/us/adidas-originals-x-liberty-london-baseball-hat/JD0998.html?pr=taxonomy_rr&slot=11&rec=mt
adidas Originals Summer Glow Skirt,$60,"https://assets.adidas.com/images/w_600,f_auto,q_auto/0aca32705cd7438b8588351d003f371c_9366/adidas_Originals_Summer_Glow_Skirt_White_KC0768_000_plp_model.jpg",https://www.adidas.com/us/adidas-originals-summer-glow-skirt/KC0768.html?pr=taxonomy_rr&slot=12&rec=mt
